Group#,Priority
4,A,Ticket#,Age,Height,Email
,,GP00001,42,72,noyb@noyb.com
,,GP00002,42,72,noyb@noyb.com
,,GP00003,42,72,noyb@noyb.com
Group#,Priority
2,B,Ticket#,Age,Height,Email
,,GS00001,42,72,noyb@noyb.com
,,GS00002,42,72,noyb@noyb.com
,,GS00003,42,72,noyb@noyb.com
Group#,Priority
3,C,Ticket#,Age,Height,Email
,,PR00001,42,72,noyb@noyb.com
,,PR00002,42,72,noyb@noyb.com
,,PR00003,42,72,noyb@noyb.com
Group#,Priority
1,D,Ticket#,Age,Height,Email
,,GR00001,42,72,noyb@noyb.com
,,GR00002,42,72,noyb@noyb.com
,,GR00003,42,72,noyb@noyb.com
